Quang_Liêm/Np bất_ngờ/A hạ/V gục/V ĐKVĐ/Np cờ/N nhanh/A thế_giới/N
Để/E đối_thủ/N có/V lợi_thế/N trong/E gần_như/R cả/P ván/N đấu/V nhưng/C Quang_Liêm/Np /V elo/V 2 6/M /N vẫn/R kiên_cường/A phòng_ngự/V hiệu_quả/N
Tưởng/V như/C màn/N so/V tài/N giữa/E hai/M kỳ_thủ/N sẽ/R kết_thúc/V với/E kết_quả/N hòa/V thì/C từ/E một/M nước/N cờ/N sai_lầm/A của/E Ivanchuk/Np /V elo/V 2 9/M /N thế_trận/N đảo/N chiều/N ngay_lập_tức/R
Với/E những/L nước/N nhảy/V mã/N tinh_tường/A Quang_Liêm/Np đã/R xuất_sắc/A đánh_bại/V kỳ_thủ/V nhiều/A kinh_nghiệm/N nhất/A giải/N đấu/V
Dù/C cầm_quân/V đen/A và/CC sử_dụng/V phòng_thủ/V Ấn/V Độ/N cổ/A Ivanchuk/Np vẫn/R là/V người/N giữ/V ưu_thế/A bằng/E cách/N tấn_công/V cánh/N hậu/A của/E Trắng/Np
Tuy_nhiên/C Quang_Liêm/Np vẫn/R bình_tĩnh/A phòng_thủ/V trước/E sức/N tấn_công/V của/E đương_kim/N quán_quân/N cờ/N nhanh/A thế_giới/N
Ivanchuk/Np từng/R vượt/V qua/R cả/P “/N Vua/N cờ/N ”/M Magnus_Carlsen/Np ở/E giải/N vô_địch/N cờ/N nhanh/A hồi/N cuối/N năm_ngoái/N và/CC cũng/R là/V một/M trong/E những/L kỳ_thủ/N được/V kính_trọng/V nhất/R làng/N cờ/N hiện_tại/N
Bước_ngoặt/N của/E ván/N đấu/V xuất_hiện/V khi/N Quang_Liêm/Np đi/V 37 7/Np với/E mục_đích/N bắt/V tốt/A ở/E h/N 7/M và/CC sau/E đó/P là/V h/N 4/M
Đây/P là/V đòn/N tấn_công/V mà/C theo/V các/L máy_tính/N Đen/Np không_thể/R bảo_vệ/V được/R hai/M tốt/A mà/C chỉ/R còn/V cách/V truy_bắt/V những/L tốt/A cô_lập/V của/E Trắng/Np
Thay/V vào/E đó/P Ivanchuk/Np lại/R cố_gắng/V giữ/V tốt/A ở/E h/N 7/M bằng/E 37/M …/N Be2/Np đặt/V tượng/N vào/E thế/P nguy_hiểm/A
Quang_Liêm/Np tỏ/V ra/R tinh_quái/A khi/N nhận/V ra/R sai_lầm/N của/E đối_thủ/N
Bằng/E ba/M nước/N nhảy/V mã/N khéo_léo/A /V 38 7/Np 39 d6/Np 40 5/Np /M Trắng/Np không_chỉ/R ăn/V được/R tốt/A ở/E d/N 6/M mà_còn/C tạo/V điều_kiện/N cho/E tốt/A trắng/A ở/E d/N 5/M băng/V xuống/R
Ivanchuk/Np lúc/N này/P không_thể/R tránh/V khỏi/V việc/N để/E Trắng/Np phong/V cấp/N bằng_không/A sẽ/R mất/V tượng/N
Vì_thế/C sau/E 41 /M
Đen/Np đầu_hàng/V
Chiến_thắng/N bất_ngờ/A giúp/V Quang_Liêm/Np đạt/V 4,5/M điểm/N qua/V bảy/M ván/N đấu/V kiên_trì/V bám/V đuổi/V người/N đang/R giữ/V đỉnh/N bảng/N Wei_Yi/Np /V 2 8/M /N với/E một/M điểm/N ít/A hơn/R
Ở/E ván/N đấu/V thứ/N tám/M kỳ_thủ/V số_một/N Việt_Nam/Np được/V cầm/V trắng/A đụng_độ/V Lu_Shanglei/Np /V 2 8/M /N người/N đang/R đội_sổ/V với/E 1,5/M điểm/N
Đây/P là/V cơ_hội/N tốt/A để/E Quang_Liêm/Np bỏ_túi/V thêm/V một/M điểm/N trước/E ván/N đấu/V có_thể/R coi/V là/C “/M chung_kết/N ”/A giữa/E anh/N và/CC Wei_Yi/Np diễn/V ra_vào/V ngày/N cuối_cùng/A của/E giải/N
Giải/N cờ_vua/V Siêu/Np đại/V kiện_tướng/N diễn/V ra/R tại/E thành_phố/N Đam_Châu/Np là/V một/M trong/E những/L sự_kiện/N thể_thao/N thường_niên/A và/CC được/R chờ_đợi/V nhất/R tại/E tỉnh/N Hải_Nam/Np Trung_Quốc/Np  /V Được/V tổ_chức/V lần/N đầu/N năm/N 2010/M giải/N đấu/V tại/E Đam_Châu/Np luôn/R thu_hút/V được/R những/L kỳ_thủ/N mạnh/A nhất/A Trung_Quốc/Np
Với/E hệ_số/N elo/N trung_bình/A của/E các/L kỳ_thủ/N tham_dự/V thường/R trên_dưới/N 2 0/M đây/P chính/T là/V giải/N cờ/N có/V chất_lượng/N cao/A nhất/A ở/E Trung_Quốc/Np
Giải_Siêu/Np đại/V kiện_tướng/N 2017/M diễn/V ra/R từ/E ngày/N 9/7/M đến/V 18/7/M
Tổng/N giá_trị/N giải_thưởng/N là/V 60 0/M đôla/Nu
Tiền/N thưởng/V cho/E các/L vị_trí/N từ/E 1/M đến/E 3/M lần_lượt/R là/V 20/M nghìn/N 11/M nghìn/N và/CC 7/M nghìn/N
Tất_cả/P khoản/N tiền/N trên/E đều/R là/V trước/E thuế/N /M thuế/N tại/E Hải_Nam/Np là/V 20%/M /N
Kết_quả/N ván/N bảy/M Lê_Quang_Liêm/Np 1/M 0/M Vassily_Ivanchuk_Lu_Shanglei/Np 0/M 1/M Wang_Hao_Wei_Yi/Np ½/M ½/M Arkadij_Naiditsch_Ruslan_Ponomariov/Np 1/M 0/M Vladimir_Malakhov_Ding_Liren/Np  /M ½/M ½/M  /N Yu_Yangyi_Biên/Np bản/N ván/N đấu/V Lê_Quang_Liêm/Np vs/V Vassily_Ivanchuk/Np 1/M
d4/M d6/N 2/M
c4/M g6/N 3/M
Nc3/M Bg7/N 4/M
e4/M Nf6/N 5/M
Be2/M O/Np O/Np 6/M
Bg5/M Na6/N 7/M
Qd2/M e5/N 8/M
d5/M c6/N 9/M
f3/M cxd5/N 10/M
cxd5/M Bd7/N 11/M
Bxa6/M bxa6/N 12/M
Nge2/M a5/N 13/M
b3/M Qb6/N 14/M
Be3/M Qb4/N 15/M
O/M O_Nh/Np 5/M 16/M
Rfb1/M Nf4/N 17/M
Qd1/M Rfc8/N 18/M
a3/M Qb7/N 19/M
Qd2/M f5/N 20/M
Nxf4/M exf4/N 21/M
Bd4/M Bxd4/Np +/N 22/M
Qxd4/M Qb6/N 23/M
Qxb6/M axb6/N 24/M
Rc1/M Rc5/N 25/M
exf5/M Rac8/N 26/M
Ne2/M Bxf5/N 27/M
Re1/M g5/N 28/M
h4/M gxh4/N 29/M
Nxf4/M Rc3/N 30/M
Ne2/M R3c5/N 31/M
Nf4/M Kf7/N 32/M
Rad1/M Bc2/N 33/M
Rd2/M Bxb3/N 34/M
Re6/M Rc4/N 35/M
Nh3/M Rd8/N 36/M
Ng5/M +/N Kg8/Np 37/M
Re7/M Bc2/N 38/M
Nf7/M Rf8/N 39/M
Nxd6/M Rc3/N 40/M
Nb5/M Rc5/N 41/M
